,Player,Position,draft_score
1,Andrei Svechnikov,RW,3.5652115335804977
2,Filip Zadina,LW,3.4988777336377614
3,Aidan Dudas,C,3.4533053474814177
4,Barrett Hayton,C,3.406845203632444
5,Ryan McLeod,C,3.3882408786228626
6,Quinn Hughes,D,3.373494462165696
7,Akil Thomas,C,3.3271127598069423
8,Cameron Hillis,C,3.247319642936441
9,Allan McShane,C,3.2427882552583243
10,Jacob Olofsson,C,3.2275950288570665
11,Nathan Dunkley,C,3.200423511085587
12,Filip Hållander,C/W,3.197031476624103
13,Kyle Topping,C,3.1551716203349853
14,Cole Fonstad,C/LW,3.1542434140278637
15,Rasmus Sandin,D,3.1247612510222953
16,Alexander Alexeyev,D,3.1200534104907387
17,Oliver Wahlstrom,C/RW,3.1107590694694736
18,Nicolas Beaudin,D,3.108241997290895
19,Toni Utunen,D,3.0911011593659756
20,Joseph Veleno,C,3.07828717723578
21,Filip Král,D,3.063650127765621
22,Ty Smith,D,3.060778933444672
23,Noah Dobson,D,2.974290937189619
24,Calen Addison,D,2.9646098229759366
25,Bode Wilde,D,2.958757054091048
26,Jesperi Kotkaniemi,C,2.943595004135872
27,Ryan Merkley,D,2.9371844044095003
28,Evan Bouchard,D,2.9217059432822547
29,Rasmus Dahlin,D,2.9190691471109917
30,Jett Woo,D,2.9063640713977703
31,Jared McIsaac,D,2.89691113340702
32,Brady Tkachuk,C/LW,2.89032499861079
33,Joel Farabee,LW,2.8667989916531793
34,Ty Dellandrea,C,2.787877811703546
35,Wyatte Wylie,D,2.7405151677425987
36,Niklas Nordgren,RW,2.729049039864356
37,Xavier Bernard,D,2.727784863388588
38,Vitali Kravtsov,RW,2.7106808694328857
39,Luke Henman,C,2.7100552783197243
40,Rasmus Kupari,C,2.6978993511586706
41,Adam McCormick,D,2.6810221761908726
42,Riley Damiani,C,2.669715576005781
43,Riley Sutter,RW,2.667801650783013
44,Matthew Struthers,C,2.650610337547958
45,Isac Lundeström,C/LW,2.6245731269213763
46,Giovanni Vallati,D,2.6236575903913906
47,Tyler Tucker,D,2.602308903562226
48,Anderson MacDonald,LW,2.602237201430559
49,Philipp Kurashev,LW/C,2.5752714360247255
50,Luka Burzan,C,2.5148262231212626
51,Martin Kaut,RW,2.4329470836190312
52,Serron Noel,RW,2.379760286111077
53,Benoit-Olivier Groulx,C,2.3280574106213665
54,Dawson Barteaux,D,2.228354610641568
55,Niko Hämäläinen,D,2.071615235227969
56,Ryan Chyzowski,LW,2.0541658676120553
57,Justin Ducharme,RW,2.025926842238128
58,Curtis Douglas,C,2.0090414195678497
59,Jakub Lauko,C/LW,1.993980535134809
60,Eetu Mäki,RW,1.9252889120217436
61,Radim Toman,F,1.8960919968114003
62,Eetu Päkkilä,LW,1.8936412958145339
63,Jack Drury,C,1.860521905106566
64,Gabriel Fortier,LW,1.8014273063444357
65,David Gustafsson,C,1.766242312465323
66,K'Andre Miller,D,1.7060424441923967
67,Nils Lundkvist,D,1.6534237189316774
68,Mattias Samuelsson,D,1.6456135214485497
69,Matthew Grouchy,RW,1.6452844507330235
70,Vojtech Kropacek,C,1.6341560576944865
