,Player,Position,season,draft_score
1,Bryan Little,C/RW,2006,1.9300431874439392
2,Patrick Kane,RW,2007,1.9182413295739706
3,Bobby Ryan,RW/LW,2005,1.9169621044602616
4,Eric Staal,C/LW,2003,1.9117024244349392
5,Connor McDavid,C,2015,1.9112476268352392
6,Tyler Seguin,C/RW,2010,1.9086552589968808
7,Mitchell Marner,RW,2015,1.908233286199756
8,Jonathan Drouin,C/LW,2013,1.9070686374742194
9,John Tavares,C,2009,1.906767990366724
10,Logan Couture,C/LW,2007,1.898407474020582
11,Nazem Kadri,C,2009,1.8982558883499032
12,Drew Doughty,D,2008,1.8980632536859978
13,Nathan MacKinnon,C,2013,1.8973157489085484
14,Ryan Strome,C/RW,2011,1.8962002773352313
15,Dustin Brown,RW/LW,2003,1.894791863359593
16,P.K. Subban,D,2007,1.8945277513714038
17,Jonathan Huberdeau,LW,2011,1.8908457529027232
18,Sidney Crosby,C,2005,1.88998475922933
19,Nathan Horton,RW,2003,1.8888243390679578
20,Alex Pietrangelo,D,2008,1.8863856672996473
21,Max Domi,LW/C,2013,1.8852229063161474
22,Steven Stamkos,C,2008,1.8849165861712744
23,Taylor Hall,LW,2010,1.8845915129813742
24,Dougie Hamilton,D,2011,1.8845875343260583
25,Tyler Toffoli,RW,2010,1.8834897488874511
26,Patrick O'Sullivan,C,2003,1.883397211419029
27,Mikkel Bødker,LW/RW,2008,1.8774017764442015
28,Corey Perry,RW,2003,1.8742850842896381
29,Sam Bennett,C/LW,2014,1.873816498112031
30,Sean Couturier,C,2011,1.8710412419582472
31,Vladimir Tarasenko,RW,2010,1.870715130328362
32,Alex DeBrincat,RW/LW,2016,1.8705127502893837
33,Claude Giroux,C,2006,1.869261127961186
34,Benoît Pouliot,LW,2005,1.867763096728502
35,Leon Draisaitl,C/RW,2014,1.867191492645742
36,Sean Monahan,C,2013,1.8664521695189726
37,Rob Schremp,C,2004,1.865354089895848
38,Nikolai Zherdev,LW/RW,2003,1.864358493103722
39,Jeff Skinner,LW,2010,1.8641874520305037
40,Nikolaj Ehlers,LW/RW,2014,1.8621569600059078
41,Chris Stewart,RW/LW,2006,1.8606880739404512
42,Boone Jenner,C/LW,2011,1.860532340861158
43,Tyson Barrie,D,2009,1.8563235411626733
44,Jordan Staal,C,2006,1.8552793363975288
45,Jack Eichel,C,2015,1.8512503035674044
46,Derick Brassard,C,2006,1.8509358947821166
47,Vincent Trocheck,C,2011,1.850614477896908
48,Matt Duchene,C/RW,2009,1.8490068516650244
49,Josh Bailey,LW/RW,2008,1.848477127933315
50,Sam Reinhart,C/RW,2014,1.8474776440887593
51,Evander Kane,LW,2009,1.846018115203625
52,Sam Gagner,C/W,2007,1.8452820397897747
53,Gabriel Landeskog,LW,2011,1.8438365162211263
54,Jakub Voracek,RW/LW,2007,1.8393084628791172
55,Adam Mascherin,C/LW,2016,1.8391334752321589
56,Alexander Ovechkin,LW,2004,1.8390403038023915
57,Alexander Khokhlachev,C/W,2011,1.8364339681636612
58,Steve Downie,RW,2005,1.8359451620821061
59,Victor Hedman,D,2009,1.8339582325569086
60,Mike Green,D,2004,1.8330996609580121
61,Colin Wilson,C/W,2008,1.8328177603063294
62,Ryan Nugent-Hopkins,C,2011,1.8322508535402586
63,Vladislav Namestnikov,C/LW,2011,1.8313575429513458
64,Devante Smith-Pelly,RW,2010,1.8312530429663008
65,Cody Hodgson,C,2008,1.8306726241998041
66,Dave Bolland,C,2004,1.8283337777984787
67,Patrice Bergeron,C,2003,1.8251921420832038
68,Peter Mueller,C/W,2006,1.824863017626559
69,Jeff Carter,C/RW,2003,1.8241988481799192
70,Pierre-Luc Dubois,C/LW,2016,1.823401543863532
